"id_story"	"titre"	"id_img"	"id_doc"	"id_son"	"url_sharedoc_data"	"url _Nakala_data"	"url_image"	"source_auteur"	"url_source"	"date_production"	"date_info"	"lieu"	"texte"	"corpus"	"id_corpus"	"niveau"	"periode"
1	"Introduction"												"<p>Les efflorescences et les échouages de macroalgues vertes en Bretagne sont aujourd’hui très bien suivis et documentés, en particulier par le              <a href=""https://www.ceva-algues.com/services-et-innovations/suivre-la-qualite-de-leau-et-analyser-les-dysfonctionnements-de-la-vegetation-aquatique/"" target=""_blank"" rel=""noopener noreferrer"">Centre d’Étude et de Valorisation des Algues</a>.             Ces suivis se sont mis en place progressivement et se sont renforcés, à mesure qu’une prise en charge coordonnée s’organisait.         </p>          <p>             Malgré le caractère historiquement récent de ces phénomènes, identifier leurs premières occurrences nécessite ainsi de croiser des sources dispersées qui, toutes, sont parcellaires et impliquent quelques précautions interprétatives.              C’est à présenter les plus importants d'entre eux de façon détaillée que ce premier chapitre s’attache : photographies aériennes anciennes, articles de presse ou de revues, archives des habitant·es, témoignages oraux, études scientifiques, archives administratives, enquêtes menées auprès des communes touchées constituent autant de traces et d’indications qui rapprochent la datation des premières marées vertes d’un exercice délicat d’archéologie du temps présent…         </p>"			1	
20	"Photographies aériennes du littoral"												"<p>Le corpus « Photographies aériennes du littoral » est composé de photographies du littoral breton datant de 1926 à 2023. Les photographies les plus anciennes proviennent de la photothèque nationale SHOM, Ifremer. Les fichiers téléchargeables, à partir du catalogue « Photos anciennes » de l’infrastructure de données d’Ifremer nommé Sextant (<a href=""https://sextant.ifremer.fr/"">https://sextant.ifremer.fr/</a>), sont des mosaïques de photos en noir et blanc scannées et géoréférencées provenant d’une même campagne. A partir de la bibliothèque de l’IGN (<a href=""https://remonterletemps.ign.fr/"">https://remonterletemps.ign.fr/</a>), des clichés aériens en noir et blanc, des années 50 aux années 90 complètent ce corpus. Il s’agit d’images brutes scannées, non géoréférencées, dont les informations suivantes sont renseignées : référence, numéro, échelle, type de cliché et date. Un large panel de photographies aériennes en couleur compose également ce corpus à partir de la base interne du Centre d’Etude et de Valorisation des Algues (CEVA). Elles sont issues du programme Prolittoral (2002), et du Réseau de Contrôle de Surveillance (RCS) et Opérationnel (RCO) de la Directive Cadre sur l’Eau (DCE) mis en place depuis 2007. Ces photographies acquises mensuellement durant la période de mai à septembre permettent d’évaluer la dynamique saisonnière et interannuelle des échouages d’algues vertes, ainsi que l’état écologique de la masse d’eau. Lorsqu’elles sont datées et localisées, les photographies représentent un matériel robuste pour documenter un lieu. Elles participent ainsi à mieux caractériser le paysage littoral passé et aider à historiciser l’émergence du phénomène de marée verte. Néanmoins, la qualité et quantité du corpus tend à diminuer avec les sauts dans le passé. La surveillance accrue du littoral vis-à-vis des proliférations d’algues vertes est née bien des années après les premiers signalements. A cela s’ajoute le fait que les clichés antérieurs aux années 90 de ce corpus sont uniquement en noir et blanc, ce qui rend difficile la discrimination des espèces algales échouées sur l’estran. La neutralité et le caractère visuel de ce corpus présentent un intérêt majeur lorsqu’il est associé à des fonds d’archives tels que des témoignages dont la perception de l’émergence du phénomène de « marée verte »  peut être propre à chaque individu et groupe d’acteur. </p>"	"Photographies aériennes du littoral"	"c_01"	2	"1926 à aujourd'hui"
21	"Photographie aérienne de la baie de Saint Michel en Grève en mai 1971"	"id_03.jpg"			"https://sharedocs.huma-num.fr/wl/?id=PIx21yFhGeirTToyzX5WU9sdYGkFZW87"		"https://sharedocs.huma-num.fr/wl/?id=PIx21yFhGeirTToyzX5WU9sdYGkFZW87"	"IGN "	"https://remonterletemps.ign.fr/"	"03/05/71"	"03/05/71"	"Baie de Saint Michel en Grève"	"<p>Ce cliché en noir en blanc, daté du 3 mai 1971, est issu de la bibliothèque de l’IGN. On observe très clairement des dépôts massifs de macro-algues sur la plage, et une bande foncée dans le rideau ceinturant le bas de plage. Cette photographie témoigne de l’eutrophisation de la baie à cette date à travers une prolifération algale. L’absence de couleur sur cette photographie ne permet pas de confirmer que les algues échouées correspondent à des ulves responsables du phénomène de « marée verte ». Néanmoins, certains éléments observés sur cette photographie sont comparables aux caractéristiques classiques des « marées vertes » : des formes dendritiques sur la plage, un rideau fortement concentré en algue, des dépôts particulièrement visibles à l’embouchure des rivières. </p>"	"Photographies aériennes du littoral"	"c_01"	3	
22	"Photographie aérienne Saint Michel en Grève -survol CEVA juillet 2016"	"id_04.JPG"			"https://sharedocs.huma-num.fr/wl/?id=sXDatd9yws1NgNrDsg1Q63Vg6qeMV2Zv"		"https://sharedocs.huma-num.fr/wl/?id=sXDatd9yws1NgNrDsg1Q63Vg6qeMV2Zv"	"CEVA"		"19/07/16"	"19/07/16"	"Baie de Saint Michel en Grève"	"<p>Datée du 19 juillet 2016, cette photographie aérienne, acquise par le Centre d’Etude et de Valorisation des Algues (CEVA), a été prise au-dessus de la baie de Saint Michel en Grève dans le cadre du Réseau de Contrôle et de Surveillance (RCS) de la Directive Cadre de l’Eau (DCE). A cette date et en ce lieu, la surface de l’estran recouverte par les ulves était de 109 hectares, ce qui correspond à la valeur la plus haute mesurée sur la période 2002-2023 pour un mois de juillet. Cette photographie illustre parfaitement les caractéristiques propres aux « marées vertes » observées sur les plages bretonnes. On peut observer des formes dendritiques dues aux dépôts d’ulves sur l’estran découvert à marée basse. Dans le rideau, la concentration des ulves maintenues en suspension dans une faible profondeur d’eau conduit à une forme de « bande verte » ceinturant le bas de plage. Il est classique d’observer des dépôts d’ulves plus marquées à proximité de l’embouchure d’une rivière. Sur cette photographie, l’influence du Yar, du ruisseau de Roscoat et de Kerdu (de gauche à droite) est bien visible. </p>"	"Photographies aériennes du littoral"	"c_01"	3	
23	"Photographie aérienne de la baie de La Fresnaye en mai 1966"	"id_05.jpg"			"https://sharedocs.huma-num.fr/wl/?id=TqbvOGaoZeJdDz5v0KmeVFWmqnlX2Z9O"		"https://sharedocs.huma-num.fr/wl/?id=TqbvOGaoZeJdDz5v0KmeVFWmqnlX2Z9O"	"IGN "	"https://remonterletemps.ign.fr/"	"16/05/66"	"16/05/66"	"Baie de La Fresnaye"	"<p>Ce cliché en noir en blanc, daté du 16 mai 1966, est issu de la bibliothèque de l’IGN. A cette date, une prolifération de macro-algue est clairement visible, symptôme probablement de l’eutrophisation de la baie. Malgré une bande foncée dans le rideau et des dépôts sur l’estran sous forme dendritique, caractéristiques classiques du phénomène de « marée verte », l’absence de couleur ne permet pas d’affirmer que les algues proliférantes sont des ulves, sans un croisement avec d’autres fonds d’archives. D’autant plus qu’au cours de ces deux dernières décennies, des proliférations d’une autre algue opportuniste, Pylaiella littoralis (algue brune filamenteuse), ont eu lieu à différentes reprises en baie de La Fresnaye, dont la forme et intensité des dépôts présentaient les mêmes marqueurs que pour les ulves sur une prise de vue aérienne. </p>"	"Photographies aériennes du littoral"	"c_01"	3	
24	"Photographie aérienne de la baie de La Fresnaye en juillet 2023"	"id_06.JPG"			"https://sharedocs.huma-num.fr/wl/?id=55m1a1nq12FuFUXrUzS1gCzklF8pfzDQ"		"https://sharedocs.huma-num.fr/wl/?id=55m1a1nq12FuFUXrUzS1gCzklF8pfzDQ"	"CEVA"		"18/07/23"	"18/07/23"	"Baie de La Fresnaye"	"<p>Datée du 18 juillet 2023, cette photographie aérienne, acquise par le Centre d’Etude et de Valorisation des Algues (CEVA), a été prise au-dessus de la baie de La Fresnaye dans le cadre du Réseau de Contrôle et de Surveillance (RCS) de la Directive Cadre sur l’Eau (DCE). La baie de La Fresnaye, inscrite dans le Programme de Lutte contre les Algues Vertes (PLAV), fait face depuis plusieurs années à des proliférations d’algues opportunistes du genre Ulvaria (algues vertes en lame de la même famille qu’Ulva spp.) et de l’espèce Pylaiella littoralis (algues brunes filamenteuse). Ce cliché illustre la prolifération de Pylaiella littoralis dans la baie de La Fresnaye avec des caractéristiques très similaires à celles associées à une « marée verte » sur une prise de vie aérienne : un rideau fortement concentré en algue ceinturant le bas de plage et des dépôts sur l’estran avec des formes dendritiques. La prolifération de cette algue brune est également observée ailleurs sur le littoral breton, et particulièrement connue des baies de Lancieux et Douarnenez (exemple <a href=""https://sharedocs.huma-num.fr/wl/?id=Lz1bwh1Fk4X6PNHNJ8oo16x9DXvZASEF)"">photographie de la plage du Ry prise par le CEVA en juillet 2018</a>).</p> <p><br />En règle générale, la prolifération de Pylaiella littoralis s’accompagne d’une faible, voire absence, prolifération d’ulves dans le même milieu. Plusieurs études convergent pour émettre l’hypothèse que Pylaiella littoralis serait plus compétitive que les ulves vis-à-vis d’une température et ensoleillement plus faible, et d’un milieu moins riche en azote.</p> <p>Pour plus d’information :<br /><em>Louis, J., Ballu, S., Rossi, N., Lasbleiz, M., Perrot, T., Daniel, C., ... &amp; Richier, S. (2023). Multi-year renewal of green tides: 18 years of algal mat monitoring (2003–2020) on French coastline (Brittany region). Marine Pollution Bulletin, 193, 115173. https://doi.org/10.1016/j.marpolbul.2023.115173</em></p>"	"Photographies aériennes du littoral"	"c_01"	3	
25	"Photographie aérienne Plage du Ry en juillet 2018"	"id_07.JPG"			"https://sharedocs.huma-num.fr/wl/?id=Lz1bwh1Fk4X6PNHNJ8oo16x9DXvZASEF"			"CEVA"		"12/07/18"	"12/07/18"	"Baie de Douarnenez"		"Photographies aériennes du littoral"	"c_01"	3	
30	"Archives de presse, revue"												"<p>Le corpus « archives de presse » n’a jamais fait l’objet d’un inventaire systématique, rendu difficile par le très grand nombre de titres, la diversité des supports (presse nationale généraliste, presse quotidienne régionale, revues professionnelles et spécialisées, revues associatives…), et la numérisation encore partielle des archives antérieures aux années 1990 dans les grandes bases de données comme Factiva ou Europresse. Cependant, certains titres de presse ont numérisé la totalité de leurs parutions. Par ailleurs, la pratique des revues de presse systématiques était encore très répandue dans les organismes publics, organismes de recherche et associations sur la période d’émergence des marées vertes. Certains, comme l’association Eau & Rivières de Bretagne, se sont livrés à des recherche au sein de leurs propres archives, qui facilitent l’identification des sources les plus anciennes – puisque l’association a été créée en 1969. A l’inverse, le CEVA a été créé en 1982 : les archives de sa revue de presse, très complète par ailleurs, ne comportent pas d’article antérieur à 1980. L’existence d’un article de presse traitant des marées vertes constitue un indice de visibilité sociale, soit directe ou primaire (un échouage massif particulièrement frappant et inédit s’est produit, par exemple), soit indirecte ou secondaire. Dans ce dernier cas, le plus fréquent, il constitue la trace d’un concernement émergent chez un ou plusieurs acteurs sociaux : par exemple, des riverains ont alerté un journaliste, une association souhaite informer ses adhérent·es, une commune souhaite communiquer sur les actions de remédiation entreprises auprès du grand public. Cela explique que les articles les plus anciens recensés soient postérieurs de quelques années aux occurrences probables de premiers blooms. Plus rarement, le contenu des articles fournit des détails sur l’historique des proliférations et des échouages, ou leurs caractéristiques.
</p>"	"Archives de presse, revue"	"c_02"	2	"1975-1982
"
31	"1982, le délégué général d’Eau & Rivières de Bretagne Gilles Huet dénonce l’ampleur et les causes des marées vertes dans les colonnes de la revue de l’association; Source : Eau et rivières, n°41, p.26"	"id_31.png"	"id_31.pdf"					"Eau & Rivières de Bretagne"		"01/03/23"	"01/03/23"	"Baie de Lannion; Baie de Saint-Brieuc"	"<p>Les associations de protection de l’environnement, comme Bretagne Vivante ou Eau & Rivières de Bretagne, s’expriment régulièrement par voie de presse. Mais elles disposent aussi souvent de leurs propres revues et supports de communication. L’article présenté ici constitue, dans les archives d’Eau & Rivières de Bretagne, un document important, à la fois pour la recherche et pour l’association elle-même. Il évoque ainsi des éléments factuels sur la montée en puissance des proliférations au cours des années 1970 « principalement » dans les baies de Saint-Brieuc et de Lannion, en s’appuyant sur des données officielles de ramassage, et présente de façon synthétique hypothèses et résultats scientifiques considérés à l’époque comme valides par l’association. Mais il témoigne également de l’engagement précoce de celle-ci sur ce sujet et de l’identification, dès le début des années 1980, d’un lien entre activités agricoles et eutrophisation côtière sur le littoral costarmoricain. La même année, Gilles Huet, auteur de l’article et délégué général de l’association, s’exprime également pour la première fois sur ce sujet dans les colonnes d’Ouest France, livrant cette même lecture du phénomène à un public plus large que celui des adhérent·es de l’association.</p>"	"Archives de presse, revue"	"c_02"	3	
32	"Document 2"													"Archives de presse, revue"	"c_02"	3	
